,adj1,adj2,adj3,adj4
ENSG00000117090-ENSG00000136487,0.0,0.0,0.0,0.0
ENSG00000145242-ENSG00000213088,0.0,-1.0,0.0,0.0
ENSG00000162998-ENSG00000183625,0.0,0.0,0.0,0.0
ENSG00000113763-ENSG00000162344,0.0,0.0,0.0,0.0
ENSG00000163600-ENSG00000168081,0.0,0.0,0.0,0.0
ENSG00000142538-ENSG00000226979,0.0,0.0,0.0,0.0
ENSG00000125730-ENSG00000197405,0.0,0.0,0.0,0.0
ENSG00000115353-ENSG00000158815,0.0,0.0,0.0,0.0
ENSG00000105220-ENSG00000121594,0.0,0.0,0.0,0.0
ENSG00000070388-ENSG00000185896,0.0,0.0,0.0,0.0
ENSG00000144891-ENSG00000163823,0.0,0.0,0.0,0.0
ENSG00000107018-ENSG00000148346,0.0,0.0,0.0,0.0
ENSG00000106178-ENSG00000227507,0.0,0.0,0.0,0.0
ENSG00000138675-ENSG00000154342,0.0,0.0,0.0,0.0
ENSG00000157005-ENSG00000240972,0.0,-1.0,0.0,0.0
ENSG00000116678-ENSG00000130283,0.0,0.0,0.0,0.0
ENSG00000099617-ENSG00000169418,0.0,-1.0,0.0,0.0
ENSG00000156076-ENSG00000186340,0.0,-1.0,0.0,0.0
ENSG00000114631-ENSG00000196576,0.0,0.0,0.0,0.0
ENSG00000134817-ENSG00000261371,0.0,0.0,0.0,0.0
ENSG00000005844-ENSG00000214285,0.0,0.0,0.0,0.0
ENSG00000149294-ENSG00000184502,0.0,0.0,0.0,0.0
ENSG00000170075-ENSG00000172179,0.0,0.0,0.0,0.0
ENSG00000129048-ENSG00000196411,0.0,0.0,0.0,0.0
ENSG00000112715-ENSG00000186895,0.0,0.0,0.0,0.0
ENSG00000006638-ENSG00000275302,0.0,0.0,0.0,0.0
ENSG00000187094-ENSG00000197919,0.0,-1.0,0.0,0.0
ENSG00000026508-ENSG00000147852,0.0,-1.0,0.0,0.0
ENSG00000169855-ENSG00000187122,0.0,-1.0,0.0,0.0
ENSG00000121764-ENSG00000181092,0.0,0.0,0.0,0.0
ENSG00000139187-ENSG00000145824,0.0,0.0,0.0,0.0
ENSG00000124882-ENSG00000273079,0.0,0.0,0.0,0.0
ENSG00000104760-ENSG00000244731,0.0,0.0,0.0,0.0
ENSG00000171105-ENSG00000274736,0.0,0.0,0.0,0.0
ENSG00000167996-ENSG00000240505,0.0,0.0,0.0,0.0
ENSG00000155011-ENSG00000156076,0.0,0.0,0.0,0.0
ENSG00000164161-ENSG00000166863,0.0,-1.0,0.0,0.0
ENSG00000013725-ENSG00000137642,0.0,-1.0,0.0,0.0
ENSG00000121807-ENSG00000148053,0.0,0.0,0.0,0.0
ENSG00000126010-ENSG00000135046,0.0,0.0,0.0,0.0
ENSG00000130164-ENSG00000139514,0.0,-1.0,0.0,0.0
ENSG00000145040-ENSG00000146469,0.0,0.0,0.0,0.0
ENSG00000123146-ENSG00000189056,0.0,-1.0,0.0,0.0
ENSG00000075213-ENSG00000158769,0.0,-1.0,0.0,0.0
ENSG00000165029-ENSG00000173402,0.0,-1.0,0.0,0.0
ENSG00000136487-ENSG00000184916,0.0,-1.0,0.0,0.0
ENSG00000092445-ENSG00000196352,0.0,-1.0,0.0,0.0
ENSG00000078579-ENSG00000168621,0.0,0.0,0.0,0.0
ENSG00000114251-ENSG00000166148,0.0,0.0,0.0,0.0
ENSG00000121764-ENSG00000156234,0.0,0.0,0.0,0.0
ENSG00000134817-ENSG00000139514,0.0,0.0,0.0,0.0
ENSG00000143839-ENSG00000170017,0.0,0.0,0.0,0.0
ENSG00000108700-ENSG00000248099,0.0,0.0,0.0,0.0
ENSG00000142192-ENSG00000169218,0.0,-1.0,0.0,0.0
ENSG00000087086-ENSG00000163235,0.0,-1.0,0.0,0.0
ENSG00000072071-ENSG00000078549,0.0,-1.0,0.0,0.0
ENSG00000012504-ENSG00000243772,0.0,0.0,0.0,0.0
ENSG00000118785-ENSG00000125730,0.0,0.0,0.0,0.0
ENSG00000101144-ENSG00000105894,0.0,-1.0,0.0,0.0
ENSG00000008300-ENSG00000113494,0.0,-1.0,0.0,0.0
ENSG00000120156-ENSG00000145242,0.0,-1.0,0.0,0.0
ENSG00000128285-ENSG00000135925,0.0,-1.0,0.0,0.0
ENSG00000177707-ENSG00000232629,0.0,-1.0,0.0,0.0
ENSG00000161509-ENSG00000214285,0.0,0.0,0.0,0.0
ENSG00000101188-ENSG00000176136,0.0,0.0,0.0,0.0
