,adj1,adj2,adj3,adj4,sum
ENSG00000101327-ENSG00000116329,0.0,1.0,1.0,1.0,111
ENSG00000146648-ENSG00000157168,0.0,1.0,1.0,1.0,111
ENSG00000184500-ENSG00000167601,0.0,1.0,1.0,1.0,111
ENSG00000259384-ENSG00000112964,0.0,1.0,1.0,1.0,111
ENSG00000065320-ENSG00000187323,0.0,1.0,1.0,1.0,111
ENSG00000148400-ENSG00000185559,0.0,1.0,1.0,0.0,110
ENSG00000116106-ENSG00000090776,0.0,1.0,1.0,0.0,110
ENSG00000146648-ENSG00000113070,0.0,1.0,0.0,1.0,101
ENSG00000170775-ENSG00000197746,0.0,1.0,0.0,1.0,101
ENSG00000146648-ENSG00000030582,0.0,1.0,0.0,1.0,101
ENSG00000125845-ENSG00000128602,0.0,1.0,0.0,0.0,100
ENSG00000146072-ENSG00000142192,0.0,1.0,0.0,0.0,100
ENSG00000073008-ENSG00000177707,0.0,0.0,1.0,1.0,11
ENSG00000196576-ENSG00000168758,0.0,0.0,1.0,0.0,10
ENSG00000117335-ENSG00000101384,0.0,0.0,0.0,1.0,1
ENSG00000130283-ENSG00000164270,0.0,0.0,0.0,1.0,1
ENSG00000163485-ENSG00000138185,0.0,0.0,0.0,1.0,1
ENSG00000146648-ENSG00000122218,0.0,0.0,0.0,0.0,0
ENSG00000169242-ENSG00000116106,0.0,0.0,0.0,0.0,0
ENSG00000148053-ENSG00000074527,0.0,0.0,0.0,0.0,0
ENSG00000138685-ENSG00000026508,0.0,0.0,0.0,0.0,0
ENSG00000198719-ENSG00000074181,0.0,0.0,0.0,0.0,0
ENSG00000138685-ENSG00000068078,0.0,0.0,0.0,0.0,0
ENSG00000099617-ENSG00000145242,0.0,0.0,0.0,0.0,0
