,adj1,adj2,adj3,adj4,sum
ENSG00000134853-ENSG00000145431,1.0,1.0,1.0,1.0,1111
ENSG00000060656-ENSG00000163377,1.0,1.0,1.0,1.0,1111
ENSG00000162706-ENSG00000105767,1.0,1.0,1.0,1.0,1111
ENSG00000146648-ENSG00000030582,1.0,1.0,1.0,1.0,1111
ENSG00000134245-ENSG00000145423,1.0,1.0,1.0,1.0,1111
ENSG00000156687-ENSG00000074527,1.0,1.0,1.0,1.0,1111
ENSG00000182580-ENSG00000090776,1.0,1.0,1.0,1.0,1111
ENSG00000179776-ENSG00000179776,1.0,1.0,1.0,1.0,1111
ENSG00000146648-ENSG00000105329,1.0,1.0,1.0,1.0,1111
ENSG00000120156-ENSG00000154188,1.0,1.0,1.0,1.0,1111
ENSG00000105976-ENSG00000019991,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000132671,1.0,1.0,1.0,1.0,1111
ENSG00000130202-ENSG00000177707,1.0,1.0,1.0,1.0,1111
ENSG00000044524-ENSG00000184349,1.0,1.0,1.0,1.0,1111
ENSG00000170381-ENSG00000004399,1.0,1.0,1.0,1.0,1111
ENSG00000068078-ENSG00000102678,1.0,1.0,1.0,1.0,1111
ENSG00000159899-ENSG00000163273,1.0,1.0,1.0,1.0,1111
ENSG00000120057-ENSG00000134245,1.0,1.0,1.0,1.0,1111
ENSG00000141433-ENSG00000114812,1.0,1.0,1.0,1.0,1111
ENSG00000184349-ENSG00000145242,1.0,1.0,1.0,1.0,1111
ENSG00000143816-ENSG00000104332,1.0,1.0,1.0,1.0,1111
ENSG00000099250-ENSG00000173511,1.0,1.0,1.0,1.0,1111
ENSG00000154764-ENSG00000104332,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000101384,1.0,1.0,1.0,1.0,1111
ENSG00000149564-ENSG00000149564,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000169604,1.0,1.0,1.0,1.0,1111
ENSG00000077782-ENSG00000149294,1.0,1.0,1.0,1.0,1111
ENSG00000154764-ENSG00000130164,1.0,1.0,1.0,1.0,1111
