,adj1,adj2,adj3,adj4,sum
ENSG00000145147-ENSG00000185008,0.0,1.0,1.0,1.0,111
ENSG00000140538-ENSG00000185652,0.0,1.0,1.0,1.0,111
ENSG00000102755-ENSG00000173511,0.0,1.0,1.0,1.0,111
ENSG00000184500-ENSG00000092445,0.0,1.0,1.0,1.0,111
ENSG00000148400-ENSG00000185559,0.0,1.0,1.0,1.0,111
ENSG00000176697-ENSG00000148053,0.0,1.0,1.0,1.0,111
ENSG00000116106-ENSG00000169242,0.0,1.0,1.0,1.0,111
ENSG00000030582-ENSG00000067182,0.0,1.0,1.0,1.0,111
ENSG00000152894-ENSG00000114251,0.0,1.0,1.0,1.0,111
ENSG00000162706-ENSG00000110400,0.0,1.0,1.0,1.0,111
ENSG00000181195-ENSG00000112038,0.0,1.0,1.0,1.0,111
ENSG00000105894-ENSG00000196576,0.0,1.0,1.0,1.0,111
ENSG00000118271-ENSG00000064300,0.0,1.0,1.0,0.0,110
ENSG00000118271-ENSG00000204580,0.0,1.0,1.0,0.0,110
ENSG00000169418-ENSG00000163273,0.0,1.0,1.0,0.0,110
ENSG00000122218-ENSG00000146648,0.0,1.0,1.0,0.0,110
ENSG00000137642-ENSG00000163377,0.0,1.0,1.0,0.0,110
ENSG00000105894-ENSG00000171094,0.0,1.0,1.0,0.0,110
ENSG00000197696-ENSG00000135577,0.0,1.0,1.0,0.0,110
ENSG00000183087-ENSG00000092445,0.0,1.0,0.0,1.0,101
ENSG00000145423-ENSG00000108379,0.0,1.0,0.0,1.0,101
ENSG00000146072-ENSG00000142192,0.0,1.0,0.0,1.0,101
ENSG00000182985-ENSG00000177707,0.0,1.0,0.0,1.0,101
ENSG00000177707-ENSG00000162706,0.0,1.0,0.0,1.0,101
ENSG00000145423-ENSG00000154764,0.0,1.0,0.0,1.0,101
ENSG00000145423-ENSG00000143816,0.0,1.0,0.0,0.0,100
ENSG00000185483-ENSG00000114251,0.0,1.0,0.0,0.0,100
ENSG00000125266-ENSG00000196411,0.0,1.0,0.0,0.0,100
ENSG00000145423-ENSG00000114251,0.0,1.0,0.0,0.0,100
ENSG00000072071-ENSG00000157168,0.0,0.0,1.0,1.0,11
ENSG00000166086-ENSG00000166086,0.0,0.0,1.0,1.0,11
ENSG00000176697-ENSG00000064300,0.0,0.0,1.0,1.0,11
ENSG00000148053-ENSG00000074527,0.0,0.0,1.0,0.0,10
ENSG00000013725-ENSG00000170017,0.0,0.0,1.0,0.0,10
ENSG00000006128-ENSG00000115353,0.0,0.0,1.0,0.0,10
ENSG00000092096-ENSG00000148346,0.0,0.0,1.0,0.0,10
ENSG00000141433-ENSG00000106018,0.0,0.0,1.0,0.0,10
ENSG00000049130-ENSG00000187266,0.0,0.0,1.0,0.0,10
ENSG00000157005-ENSG00000278195,0.0,0.0,1.0,0.0,10
ENSG00000157005-ENSG00000139874,0.0,0.0,1.0,0.0,10
ENSG00000157005-ENSG00000132671,0.0,0.0,1.0,0.0,10
ENSG00000172349-ENSG00000273079,0.0,0.0,0.0,1.0,1
ENSG00000099617-ENSG00000145242,0.0,0.0,0.0,0.0,0
ENSG00000158955-ENSG00000104332,0.0,0.0,0.0,0.0,0
ENSG00000120057-ENSG00000115596,0.0,0.0,0.0,0.0,0
ENSG00000128285-ENSG00000183395,0.0,0.0,0.0,0.0,0
ENSG00000099617-ENSG00000116106,0.0,0.0,0.0,0.0,0
ENSG00000154134-ENSG00000184613,0.0,0.0,0.0,0.0,0
ENSG00000158955-ENSG00000162998,0.0,0.0,0.0,0.0,0
ENSG00000180616-ENSG00000157005,0.0,0.0,0.0,0.0,0
ENSG00000143217-ENSG00000110400,0.0,0.0,0.0,0.0,0
ENSG00000115596-ENSG00000162998,0.0,0.0,0.0,0.0,0
ENSG00000161610-ENSG00000137252,0.0,0.0,0.0,0.0,0
ENSG00000110148-ENSG00000187094,0.0,0.0,0.0,0.0,0
ENSG00000138685-ENSG00000077782,0.0,0.0,0.0,0.0,0
ENSG00000156427-ENSG00000068078,0.0,0.0,0.0,0.0,0
ENSG00000168621-ENSG00000149294,0.0,0.0,0.0,0.0,0
ENSG00000072274-ENSG00000102524,0.0,0.0,0.0,0.0,0
ENSG00000116329-ENSG00000115138,0.0,0.0,0.0,0.0,0
ENSG00000134259-ENSG00000134243,0.0,0.0,0.0,0.0,0
ENSG00000028137-ENSG00000030582,0.0,0.0,0.0,0.0,0
ENSG00000082556-ENSG00000115138,0.0,0.0,0.0,0.0,0
ENSG00000112038-ENSG00000115138,0.0,0.0,0.0,0.0,0
ENSG00000154764-ENSG00000156076,0.0,0.0,0.0,0.0,0
ENSG00000101200-ENSG00000180914,0.0,0.0,0.0,0.0,0
ENSG00000145423-ENSG00000188064,0.0,0.0,0.0,0.0,0
ENSG00000145423-ENSG00000162552,0.0,0.0,0.0,0.0,0
ENSG00000145423-ENSG00000115596,0.0,0.0,0.0,0.0,0
ENSG00000104332-ENSG00000115596,0.0,0.0,0.0,0.0,0
ENSG00000148053-ENSG00000185652,0.0,0.0,0.0,0.0,0
ENSG00000066468-ENSG00000156427,0.0,0.0,0.0,0.0,0
ENSG00000162552-ENSG00000156076,0.0,0.0,0.0,0.0,0
ENSG00000156076-ENSG00000143816,0.0,0.0,0.0,0.0,0
ENSG00000134245-ENSG00000156076,0.0,0.0,0.0,0.0,0
ENSG00000156076-ENSG00000114251,0.0,0.0,0.0,0.0,0
ENSG00000156076-ENSG00000188064,0.0,0.0,0.0,0.0,0
ENSG00000156076-ENSG00000108379,0.0,0.0,0.0,0.0,0
ENSG00000156076-ENSG00000105989,0.0,0.0,0.0,0.0,0
ENSG00000170775-ENSG00000197746,0.0,0.0,0.0,0.0,0
